Location,Description,"Latitude, Longitude",Color
Haneda Airport,Airport,"35.54939, 139.77983",yellow
Kansai Airport,Airport,"34.432, 135.23039",teal
Narita Airport,Airport,"35.77218, 140.39285",yellow
New Chitose Airport,Airport,"42.78757, 141.68068",red
Chubu Centrair Airport,Airport,"34.85736, 136.81075",green
Osaka Itami Airport,Airport,"34.79082, 135.44076",teal
Nagasaki Airport,Airport,"32.91373, 129.91844",violet
Fukuoka Airport,Airport,"33.58499, 130.44908",violet
Sendai Airport,Airport,"38.1379, 140.92891",orange
Kagoshima Airport,Airport,"31.80295, 130.71801",violet
Kobe Airport,Airport,"34.63536, 135.22492",teal
Kumamoto Airport,Airport,"32.83499, 130.85897",violet
Miyazaki Airport,Airport,"31.8762, 131.44732",violet
Yokohama Port,Sea Port,"35.45, 139.64611",yellow
Kobe Port,Sea Port,"34.67749, 135.22694",teal
Tokyo Port,Sea Port,"35.61694, 139.79555",yellow
Osaka Port,Sea Port,"34.65159, 135.43489",teal
Nagoya Port,Sea Port,"35.08, 136.88",green
Hakodate Port,Sea Port,"41.78532, 140.71594",red
Hakata Port,Sea Port,"33.60926, 130.40129",violet
Hiroshima Port,Sea Port,"34.36183, 132.51559",blue
Nagasaki Port,Sea Port,"32.74567, 129.86843",violet
Kanazawa Port,Sea Port,"36.6082, 136.61549",green
Sasebo Port,Sea Port,"33.16165, 129.72454",violet
Kochi Port,Sea Port,"33.50311, 133.57398",purple
Japan National Stadium,Stadium,"35.67782, 139.71454",yellow
Nissan Stadium,Stadium,"35.50994, 139.60639",yellow
Saitama Stadium,Stadium,"35.90372, 139.7174",yellow
Tokyo Dome,Dome Stadium,"35.70563, 139.75189",yellow
Kyocera Dome Osaka,Dome Stadium,"34.66928, 135.47614",teal
Sapparo Dome,Dome Stadium,"34.66928, 135.47614",red
Fukuoka PayPay Dome,Dome Stadium,"33.59539, 130.36212",violet
Shizuoka Stadium,Stadium,"34.74345, 137.97076",green
Ajinomoto Stadium,Stadium,"35.66405, 139.52717",yellow
Nagoya Dome,Dome Stadium,"35.186, 136.94739",green
Q&A Stadium Miyagi,Stadium,"38.33543, 140.95056",orange
Koshien Stadium,Stadium,"34.72121, 135.36165",teal
Yanmar Stadium Nagai,Stadium,"34.61404, 135.51859",teal
Toyota Stadium,Stadium,"35.08447, 137.17091",green
Kobe Universiade Memorial,Stadium,"34.68238, 135.08034",teal
Showa Denko Dome,Dome Stadium,"33.20078, 131.6575",violet
Denka Big Swan Stadium,Stadium,"37.88254, 139.05916",green
Kashima Football Stadium,Stadium,"35.99201, 140.64016",yellow
Edion Stadium,Stadium,"34.44074, 132.39436",blue
Noevir Stadium,Stadium,"34.65681, 135.16962",teal
Belluna Dome,Half Dome Stadium,"35.76901, 139.42019",yellow
Mazda Stadium,Stadium,"34.39188, 132.48457",blue
