Prefecture,Americans,,,,,,,,,,Region,Americans
Hokkaidō,1090,,,,,,,,,,Hokkaidō,1090
Akita,152,,,,,,,,,,Tōhoku,1623
Aomori,366,,,,,,,,,,Kantō,26943
Fukushima,248,,,,,,,,,,Chūbu,4482
Iwate,166,,,,,,,,,,Kansai,6239
Miyagi,552,,,,,,,,,,Chūgoku,1485
Yamagata,139,,,,,,,,,,Shikoku,569
Chiba,2002,,,,,,,,,,Kyūshū,5444
Gunma,418,,,,,,,,,,Total,47875
Ibaraki,628,,,,,,,,,,,
Kanagawa,5381,,,,,,,,,,,
Saitama,1590,,,,,,,,,,,
Tochigi,417,,,,,,,,,,,
Tokyo,16507,,,,,,,,,,,
Aichi,1852,,,,,,,,,,,
Fukui,144,,,,,,,,,,,
Gifu,305,,,,,,,,,,,
Ishikawa,247,,,,,,,,,,,
Nagano,486,,,,,,,,,,,
Niigata,292,,,,,,,,,,,
Shizuoka,759,,,,,,,,,,,
Toyama,146,,,,,,,,,,,
Yamanashi,251,,,,,,,,,,,
Hyōgo,1585,,,,,,,,,,,
Kyoto,1210,,,,,,,,,,,
Mie,220,,,,,,,,,,,
Nara,283,,,,,,,,,,,
Osaka,2522,,,,,,,,,,,
Shiga,272,,,,,,,,,,,
Wakayama,147,,,,,,,,,,,
Hiroshima,623,,,,,,,,,,,
Okayama,329,,,,,,,,,,,
Shimane,130,,,,,,,,,,,
Tottori,62,,,,,,,,,,,
Yamaguchi,341,,,,,,,,,,,
Ehime,152,,,,,,,,,,,
Kagawa,155,,,,,,,,,,,
Kōchi,137,,,,,,,,,,,
Tokushima,125,,,,,,,,,,,
Fukuoka,1144,,,,,,,,,,,
Kagoshima,226,,,,,,,,,,,
Kumamoto,281,,,,,,,,,,,
Miyazaki,170,,,,,,,,,,,
Nagasaki,440,,,,,,,,,,,
Ōita,195,,,,,,,,,,,
Okinawa,2886,,,,,,,,,,,
Saga,102,,,,,,,,,,,
Total,47875,,,,,,,,,,,
