Assembly Point,Sink,Total_TravelTime
Japan National Stadium,Tokyo Port,22.5807094
Japan National Stadium,Haneda Airport,36.29556992
Japan National Stadium,Yokohama Port,47.64583122
Japan National Stadium,Narita Airport,68.67370142
Japan National Stadium,Sendai Airport,250.3967752
Japan National Stadium,Nagoya Port,256.1068794
Japan National Stadium,Chubu Centrair Airport,263.5909357
Japan National Stadium,Kanazawa Port,360.1854962
Japan National Stadium,Osaka Itami Airport,362.5979949
Japan National Stadium,Osaka Port,374.1276458
Japan National Stadium,Kobe Port,397.8022356
Japan National Stadium,Kobe Airport,402.6525794
Japan National Stadium,Kansai Airport,406.3571858
Japan National Stadium,Hiroshima Port,580.8981561
Japan National Stadium,Kochi Port,583.0976991
Japan National Stadium,Hakodate Port,676.1946553
Japan National Stadium,Hakata Port,763.8466725
Japan National Stadium,Fukuoka Airport,769.7335138
Japan National Stadium,Sasebo Port,834.7013432
Japan National Stadium,Kumamoto Airport,836.9568216
Japan National Stadium,Nagasaki Airport,846.1127946
Japan National Stadium,New Chitose Airport,856.1803885
Japan National Stadium,Nagasaki Port,856.2744696
Japan National Stadium,Miyazaki Airport,883.3559694
Japan National Stadium,Kagoshima Airport,916.6101593
Nissan Stadium,Yokohama Port,16.18026379
Nissan Stadium,Haneda Airport,29.24313801
Nissan Stadium,Tokyo Port,36.28032598
Nissan Stadium,Narita Airport,87.81615477
Nissan Stadium,Nagoya Port,234.6513561
Nissan Stadium,Chubu Centrair Airport,242.1354124
Nissan Stadium,Sendai Airport,277.0369359
Nissan Stadium,Osaka Itami Airport,341.1424715
Nissan Stadium,Osaka Port,352.6721225
Nissan Stadium,Kanazawa Port,374.8728867
Nissan Stadium,Kobe Port,376.3467123
Nissan Stadium,Kobe Airport,381.1970561
Nissan Stadium,Kansai Airport,384.9016624
Nissan Stadium,Hiroshima Port,559.4426328
Nissan Stadium,Kochi Port,561.6421758
Nissan Stadium,Hakodate Port,702.834816
Nissan Stadium,Hakata Port,742.3911492
Nissan Stadium,Fukuoka Airport,748.2779905
Nissan Stadium,Sasebo Port,813.2458199
Nissan Stadium,Kumamoto Airport,815.5012983
Nissan Stadium,Nagasaki Airport,824.6572713
Nissan Stadium,Nagasaki Port,834.8189462
Nissan Stadium,Miyazaki Airport,861.9004461
Nissan Stadium,New Chitose Airport,882.8205492
Nissan Stadium,Kagoshima Airport,895.1546359
Saitama Stadium,Tokyo Port,56.54465576
Saitama Stadium,Narita Airport,70.76289192
Saitama Stadium,Haneda Airport,72.8231645
Saitama Stadium,Yokohama Port,87.47324957
Saitama Stadium,Sendai Airport,233.611721
Saitama Stadium,Nagoya Port,297.9078047
Saitama Stadium,Chubu Centrair Airport,305.391861
Saitama Stadium,Kanazawa Port,342.5794887
Saitama Stadium,Osaka Itami Airport,404.3989202
Saitama Stadium,Osaka Port,415.9285711
Saitama Stadium,Kobe Port,439.6031609
Saitama Stadium,Kobe Airport,444.4535047
Saitama Stadium,Kansai Airport,448.158111
Saitama Stadium,Hiroshima Port,622.6990814
Saitama Stadium,Kochi Port,624.8986244
Saitama Stadium,Hakodate Port,649.1917638
Saitama Stadium,Hakata Port,805.6475978
Saitama Stadium,Fukuoka Airport,811.5344391
Saitama Stadium,New Chitose Airport,829.177497
Saitama Stadium,Sasebo Port,876.5022685
Saitama Stadium,Kumamoto Airport,878.7577469
Saitama Stadium,Nagasaki Airport,887.9137199
Saitama Stadium,Nagasaki Port,898.0753948
Saitama Stadium,Miyazaki Airport,925.1568947
Saitama Stadium,Kagoshima Airport,958.4110845
Tokyo Dome,Tokyo Port,24.36029295
Tokyo Dome,Haneda Airport,39.07089245
Tokyo Dome,Yokohama Port,50.46455357
Tokyo Dome,Narita Airport,67.08739447
Tokyo Dome,Sendai Airport,248.8104682
Tokyo Dome,Nagoya Port,264.6809538
Tokyo Dome,Chubu Centrair Airport,272.1650101
Tokyo Dome,Kanazawa Port,352.3714251
Tokyo Dome,Osaka Itami Airport,371.1720692
Tokyo Dome,Osaka Port,382.7017202
Tokyo Dome,Kobe Port,406.3763099
Tokyo Dome,Kobe Airport,411.2266538
Tokyo Dome,Kansai Airport,414.9312601
Tokyo Dome,Hiroshima Port,589.4722305
Tokyo Dome,Kochi Port,591.6717735
Tokyo Dome,Hakodate Port,674.6083483
Tokyo Dome,Hakata Port,772.4207469
Tokyo Dome,Fukuoka Airport,778.3075882
Tokyo Dome,Sasebo Port,843.2754176
Tokyo Dome,Kumamoto Airport,845.530896
Tokyo Dome,New Chitose Airport,854.5940815
Tokyo Dome,Nagasaki Airport,854.686869
Tokyo Dome,Nagasaki Port,864.8485439
Tokyo Dome,Miyazaki Airport,891.9300438
Tokyo Dome,Kagoshima Airport,925.1842336
Kyocera Dome Osaka,Osaka Port,10.40937449
Kyocera Dome Osaka,Osaka Itami Airport,23.81865213
Kyocera Dome Osaka,Kobe Port,47.8093766
Kyocera Dome Osaka,Kobe Airport,52.65972045
Kyocera Dome Osaka,Kansai Airport,56.06627495
Kyocera Dome Osaka,Nagoya Port,135.6224948
Kyocera Dome Osaka,Chubu Centrair Airport,153.8292378
Kyocera Dome Osaka,Kanazawa Port,222.5576189
Kyocera Dome Osaka,Kochi Port,240.655589
Kyocera Dome Osaka,Hiroshima Port,251.3324326
Kyocera Dome Osaka,Yokohama Port,354.9945574
Kyocera Dome Osaka,Haneda Airport,371.9481138
Kyocera Dome Osaka,Tokyo Port,380.3370779
Kyocera Dome Osaka,Narita Airport,431.8729067
Kyocera Dome Osaka,Hakata Port,434.280949
Kyocera Dome Osaka,Fukuoka Airport,440.1677903
Kyocera Dome Osaka,Sasebo Port,505.1356197
Kyocera Dome Osaka,Kumamoto Airport,507.3910981
Kyocera Dome Osaka,Nagasaki Airport,516.5470711
Kyocera Dome Osaka,Nagasaki Port,526.708746
Kyocera Dome Osaka,Miyazaki Airport,540.9138593
Kyocera Dome Osaka,Kagoshima Airport,587.0444357
Kyocera Dome Osaka,Sendai Airport,601.6940525
Kyocera Dome Osaka,Hakodate Port,1004.005585
Kyocera Dome Osaka,New Chitose Airport,1183.991319
Sapparo Dome,New Chitose Airport,44.4705487
Sapparo Dome,Hakodate Port,226.1724003
Sapparo Dome,Sendai Airport,651.8853912
Sapparo Dome,Narita Airport,859.7641317
Sapparo Dome,Tokyo Port,882.905694
Sapparo Dome,Haneda Airport,899.1842027
Sapparo Dome,Yokohama Port,913.8342878
Sapparo Dome,Kanazawa Port,1006.670005
Sapparo Dome,Nagoya Port,1117.731898
Sapparo Dome,Chubu Centrair Airport,1125.215954
Sapparo Dome,Osaka Itami Airport,1204.75927
Sapparo Dome,Osaka Port,1216.288921
Sapparo Dome,Kobe Port,1239.240633
Sapparo Dome,Kobe Airport,1244.090977
Sapparo Dome,Kansai Airport,1248.518461
Sapparo Dome,Hiroshima Port,1405.03974
Sapparo Dome,Kochi Port,1411.551172
Sapparo Dome,Hakata Port,1587.988256
Sapparo Dome,Fukuoka Airport,1593.875097
Sapparo Dome,Sasebo Port,1658.842927
Sapparo Dome,Kumamoto Airport,1661.098405
Sapparo Dome,Nagasaki Airport,1670.254378
Sapparo Dome,Nagasaki Port,1680.416053
Sapparo Dome,Miyazaki Airport,1711.809443
Sapparo Dome,Kagoshima Airport,1740.751743
Fukuoka PayPay Dome,Hakata Port,13.5053255
Fukuoka PayPay Dome,Fukuoka Airport,17.77340003
Fukuoka PayPay Dome,Sasebo Port,97.42451799
Fukuoka PayPay Dome,Kumamoto Airport,99.67999638
Fukuoka PayPay Dome,Nagasaki Airport,108.8359694
Fukuoka PayPay Dome,Nagasaki Port,118.9976444
Fukuoka PayPay Dome,Kagoshima Airport,179.333334
Fukuoka PayPay Dome,Miyazaki Airport,212.3818519
Fukuoka PayPay Dome,Hiroshima Port,215.8311774
Fukuoka PayPay Dome,Kochi Port,414.0731055
Fukuoka PayPay Dome,Osaka Itami Airport,419.031287
Fukuoka PayPay Dome,Kobe Port,421.6298606
Fukuoka PayPay Dome,Kobe Airport,426.4802045
Fukuoka PayPay Dome,Osaka Port,437.9406339
Fukuoka PayPay Dome,Kansai Airport,483.4370195
Fukuoka PayPay Dome,Nagoya Port,532.2241125
Fukuoka PayPay Dome,Chubu Centrair Airport,550.4308555
Fukuoka PayPay Dome,Kanazawa Port,601.1505619
Fukuoka PayPay Dome,Yokohama Port,751.596175
Fukuoka PayPay Dome,Haneda Airport,768.5497315
Fukuoka PayPay Dome,Tokyo Port,776.9386956
Fukuoka PayPay Dome,Narita Airport,828.4745244
Fukuoka PayPay Dome,Sendai Airport,980.2869955
Fukuoka PayPay Dome,Hakodate Port,1382.598528
Fukuoka PayPay Dome,New Chitose Airport,1562.584262
Shizuoka Stadium,Nagoya Port,107.8871474
Shizuoka Stadium,Chubu Centrair Airport,115.3712036
Shizuoka Stadium,Yokohama Port,158.6671422
Shizuoka Stadium,Haneda Airport,175.6206987
Shizuoka Stadium,Tokyo Port,184.0096628
Shizuoka Stadium,Osaka Itami Airport,214.3782628
Shizuoka Stadium,Osaka Port,225.9079138
Shizuoka Stadium,Narita Airport,235.5454916
Shizuoka Stadium,Kobe Port,249.5825035
Shizuoka Stadium,Kobe Airport,254.4328474
Shizuoka Stadium,Kansai Airport,258.1374537
Shizuoka Stadium,Kanazawa Port,264.9056378
Shizuoka Stadium,Sendai Airport,418.646041
Shizuoka Stadium,Hiroshima Port,432.6784241
Shizuoka Stadium,Kochi Port,434.8779671
Shizuoka Stadium,Hakata Port,615.6269404
Shizuoka Stadium,Fukuoka Airport,621.5137817
Shizuoka Stadium,Sasebo Port,686.4816111
Shizuoka Stadium,Kumamoto Airport,688.7370895
Shizuoka Stadium,Nagasaki Airport,697.8930625
Shizuoka Stadium,Nagasaki Port,708.0547375
Shizuoka Stadium,Miyazaki Airport,735.1362373
Shizuoka Stadium,Kagoshima Airport,768.3904272
Shizuoka Stadium,Hakodate Port,825.8696652
Shizuoka Stadium,New Chitose Airport,1005.855398
Ajinomoto Stadium,Tokyo Port,43.89638334
Ajinomoto Stadium,Haneda Airport,49.60535015
Ajinomoto Stadium,Yokohama Port,55.04454922
Ajinomoto Stadium,Narita Airport,89.98937537
Ajinomoto Stadium,Nagoya Port,258.2666486
Ajinomoto Stadium,Chubu Centrair Airport,265.7507049
Ajinomoto Stadium,Sendai Airport,270.9135447
Ajinomoto Stadium,Kanazawa Port,355.4666986
Ajinomoto Stadium,Osaka Itami Airport,364.7577641
Ajinomoto Stadium,Osaka Port,376.287415
Ajinomoto Stadium,Kobe Port,399.9620048
Ajinomoto Stadium,Kobe Airport,404.8123486
Ajinomoto Stadium,Kansai Airport,408.5169549
Ajinomoto Stadium,Hiroshima Port,583.0579253
Ajinomoto Stadium,Kochi Port,585.2574683
Ajinomoto Stadium,Hakodate Port,692.7009334
Ajinomoto Stadium,Hakata Port,766.0064417
Ajinomoto Stadium,Fukuoka Airport,771.893283
Ajinomoto Stadium,Sasebo Port,836.8611124
Ajinomoto Stadium,Kumamoto Airport,839.1165908
Ajinomoto Stadium,Nagasaki Airport,848.2725638
Ajinomoto Stadium,Nagasaki Port,858.4342387
Ajinomoto Stadium,New Chitose Airport,872.6866667
Ajinomoto Stadium,Miyazaki Airport,885.5157386
Ajinomoto Stadium,Kagoshima Airport,918.7699284
Nagoya Dome,Nagoya Port,30.0132471
Nagoya Dome,Chubu Centrair Airport,45.87739643
Nagoya Dome,Osaka Itami Airport,135.7780103
Nagoya Dome,Osaka Port,147.3076613
Nagoya Dome,Kobe Port,170.982251
Nagoya Dome,Kobe Airport,175.8325949
Nagoya Dome,Kansai Airport,179.5372012
Nagoya Dome,Kanazawa Port,186.2591855
Nagoya Dome,Yokohama Port,241.3737958
Nagoya Dome,Haneda Airport,258.3273522
Nagoya Dome,Tokyo Port,266.7163163
Nagoya Dome,Narita Airport,318.2521451
Nagoya Dome,Hiroshima Port,354.0781716
Nagoya Dome,Kochi Port,356.2777146
Nagoya Dome,Sendai Airport,501.3526946
Nagoya Dome,Hakata Port,537.0266879
Nagoya Dome,Fukuoka Airport,542.9135292
Nagoya Dome,Sasebo Port,607.8813586
Nagoya Dome,Kumamoto Airport,610.136837
Nagoya Dome,Nagasaki Airport,619.29281
Nagoya Dome,Nagasaki Port,629.454485
Nagoya Dome,Miyazaki Airport,656.5359848
Nagoya Dome,Kagoshima Airport,689.7901747
Nagoya Dome,Hakodate Port,908.5763188
Nagoya Dome,New Chitose Airport,1088.562052
